longitude,latitude,temperature
120.01,35.19,
120.11,35.19,
120.21,35.19,
120.31,35.19,
120.41,35.19,
120.51,35.19,
120.61,35.19,
120.71,35.19,
120.81,35.19,
120.91,35.19,
121.01,35.19,
121.11,35.19,
121.21,35.19,
121.31,35.19,
121.41,35.19,
121.52,35.19,
121.62,35.19,
121.72,35.19,
121.82,35.19,
121.92,35.19,
122.02,35.19,
122.12,35.19,
122.22,35.19,
122.32,35.19,
122.42,35.19,
114.48,35.28,
114.58,35.28,
114.68,35.28,
114.78,35.28,
114.88,35.28,
114.98,35.28,4.76
115.08,35.28,4.84
115.18,35.28,4.89
115.28,35.28,4.92
115.38,35.28,4.91
115.49,35.28,4.87
115.59,35.28,4.78
115.69,35.28,4.65
115.79,35.28,4.47
115.89,35.28,4.26
115.99,35.28,4.02
116.09,35.28,3.76
116.19,35.28,3.49
116.29,35.28,3.22
116.39,35.28,2.97
116.49,35.28,2.76
116.59,35.28,2.59
116.69,35.28,2.47
116.79,35.28,2.42
116.89,35.28,2.43
116.99,35.28,2.51
117.09,35.28,2.66
117.19,35.28,2.87
117.29,35.28,3.13
117.39,35.28,3.43
117.5,35.28,3.76
117.6,35.28,4.1
117.7,35.28,4.45
117.8,35.28,4.78
117.9,35.28,5.09
118.0,35.28,5.37
118.1,35.28,5.62
118.2,35.28,5.83
118.3,35.28,6.0
118.4,35.28,6.15
118.5,35.28,6.27
118.6,35.28,6.37
118.7,35.28,6.46
118.8,35.28,6.54
118.9,35.28,6.62
119.0,35.28,6.69
119.1,35.28,6.75
119.2,35.28,6.79
119.3,35.28,6.82
119.4,35.28,6.82
119.51,35.28,
119.61,35.28,
119.71,35.28,
119.81,35.28,
119.91,35.28,
120.01,35.28,
120.11,35.28,
120.21,35.28,
120.31,35.28,
120.41,35.28,
120.51,35.28,
120.61,35.28,
120.71,35.28,
120.81,35.28,
120.91,35.28,
121.01,35.28,
121.11,35.28,
121.21,35.28,
121.31,35.28,
121.41,35.28,
121.52,35.28,
121.62,35.28,
121.72,35.28,
121.82,35.28,
121.92,35.28,
122.02,35.28,
122.12,35.28,
122.22,35.28,
122.32,35.28,
122.42,35.28,
114.48,35.36,
114.58,35.36,
114.68,35.36,
114.78,35.36,
114.88,35.36,
114.98,35.36,
115.08,35.36,4.84
115.18,35.36,4.89
115.28,35.36,4.92
115.38,35.36,4.91
115.49,35.36,4.85
115.59,35.36,4.75
115.69,35.36,4.6
115.79,35.36,4.41
115.89,35.36,4.17
115.99,35.36,3.9
116.09,35.36,3.6
116.19,35.36,3.29
116.29,35.36,2.99
116.39,35.36,2.71
116.49,35.36,2.45
116.59,35.36,2.25
116.69,35.36,2.1
116.79,35.36,2.03
116.89,35.36,2.02
116.99,35.36,2.09
117.09,35.36,2.23
117.19,35.36,2.44
117.29,35.36,2.7
117.39,35.36,3.01
117.5,35.36,3.35
117.6,35.36,3.71
117.7,35.36,4.07
117.8,35.36,4.42
117.9,35.36,4.75
118.0,35.36,5.06
118.1,35.36,5.33
118.2,35.36,5.56
118.3,35.36,5.76
118.4,35.36,5.93
118.5,35.36,6.07
118.6,35.36,6.19
118.7,35.36,6.31
118.8,35.36,6.41
118.9,35.36,6.51
119.0,35.36,6.6
119.1,35.36,6.69
119.2,35.36,6.76
119.3,35.36,6.8
119.4,35.36,6.82
119.51,35.36,6.81
119.61,35.36,
119.71,35.36,
119.81,35.36,
119.91,35.36,
120.01,35.36,
120.11,35.36,
120.21,35.36,
120.31,35.36,
120.41,35.36,
120.51,35.36,
120.61,35.36,
120.71,35.36,
120.81,35.36,
120.91,35.36,
121.01,35.36,
121.11,35.36,
121.21,35.36,
121.31,35.36,
121.41,35.36,
121.52,35.36,
121.62,35.36,
121.72,35.36,
121.82,35.36,
121.92,35.36,
122.02,35.36,
122.12,35.36,
122.22,35.36,
122.32,35.36,
122.42,35.36,
114.48,35.44,
114.58,35.44,
